"","Name","HighSchool","Position","Rating","NIL.Valuation","Followers","Last.Team","PastConf","New.Team","NewConf","didTransfer","binomialRep"
"155","Darius Muasau","LB /MililaniMililani, HI","LB",77.82,120000,2700,NA,NA,"ucla bruins","Pac-12","No",0
"156","Jihaad Campbell","LB /IMG AcademyBradenton, FL","LB",97.82,117000,25000,NA,NA,"alabama crimson tide","SEC","No",0
"157","Malik Bryant","LB /JonesOrlando, FL","LB",92.14,117000,43000,NA,NA,"miami hurricanes","ACC","No",0
"158","Whit Weeks","LB /Oconee CountyWatkinsville, GA","LB",93.05,115000,4400,NA,NA,"lsu tigers","SEC","No",0
"159","Mason Cobb","LB /ProvoProvo, UT","LB",83.4,114000,24000,"oklahoma state cowboys","Big 12","usc trojans","Pac-12","Yes",1
"160","Power Echols","LB /Julius L. ChambersCharlotte, NC","LB",92.6,114000,9500,NA,NA,"north carolina tar heels","ACC","No",0
"161","Derek Wingo","LB /St. Thomas AquinasFort Lauderdale, FL","LB",95.83,113000,29000,NA,NA,"florida gators","SEC","No",0
"162","Jamal Anderson","LB /Mill CreekHoschton, GA","LB",92.12,113000,13400,NA,NA,"clemson tigers","ACC","No",0
"163","Tatum Bethune","LB /Miami CentralMiami, FL","LB",82.53,112000,10400,NA,NA,"florida state seminoles","ACC","No",0
"164","Lewis Carter","LB /Tampa CatholicTampa, FL","LB",92.54,112000,14400,NA,NA,"oklahoma sooners","Big 12","No",0
"165","Jaren Kanak","LB /HaysHays, KS","LB",93.03,111000,193000,NA,NA,"oklahoma sooners","Big 12","No",0
"166","Cody Simon","LB /St. Peters PrepJersey City, NJ","LB",95.19,111000,16100,NA,NA,"ohio state buckeyes","Big Ten","No",0
"167","Jordan Hall","LB /IMG AcademyFredericksburg, VA","LB",92.17,111000,13600,NA,NA,"michigan state spartans","Big Ten","No",0
"168","Omar Graham Jr.","LB /StranahanFort Lauderdale, FL","LB",87.53,110000,21000,NA,NA,"florida state seminoles","ACC","No",0
"169","Trezmen Marshall","LB /Clinch CountyHomerville, GA","LB",93.12,108000,12700,"georgia bulldogs","SEC","alabama crimson tide","SEC","Yes",1
"170","Raul Aguirre","LB /WhitewaterFayetteville, GA","LB",92.12,108000,23000,NA,NA,"miami hurricanes","ACC","No",0
"171","Shemar James","LB /Faith AcademyMobile, AL","LB",95.78,108000,16600,NA,NA,"florida gators","SEC","No",0
"172","MJ Sherman","LB /St. John'sBaltimore, MD","LB",96.56,106000,22000,"georgia bulldogs","SEC","nebraska cornhuskers","Big Ten","Yes",1
"173","Quandarrius Robinson","LB /Jackson-OlinBirmingham, AL","LB",94.82,105000,10800,NA,NA,"alabama crimson tide","SEC","No",0
"174","Keon Wylie","LB /Imhotep InstitutePhiladelphia, PA","LB",88.05,104000,20000,NA,NA,"penn state nittany lions","Big Ten","No",0
"175","Austin Keys","LB /SeminarySeminary, MS","LB",85.55,103000,17400,"ole miss rebels","SEC","auburn tigers","SEC","Yes",1
"176","Jalon Walker","LB /SalisburySalisbury, NC","LB",96.07,101000,23000,NA,NA,"georgia bulldogs","SEC","No",0
"177","Blake Nichelson","LB /MantecaRipon, CA","LB",92.49,101000,16600,NA,NA,"florida state seminoles","ACC","No",0
"178","Cam Riley","LB /HillcrestEvergreen, AL","LB",90.69,101000,9400,NA,NA,"auburn tigers","SEC","No",0
"179","Donovan Manuel","LB /StockbridgeStockbridge, GA","LB",50,100000,2800,NA,NA,"fiu golden panthers",NA,"No",0
"180","Wesley Steiner","LB /Houston CountyWarner Robins, GA","LB",93.86,100000,8400,NA,NA,"auburn tigers","SEC","No",0
"181","Arvell Reese","LB /GlenvilleCleveland, OH","LB",92.26,99000,6800,NA,NA,"ohio state buckeyes","Big Ten","No",0
"182","Eric Gentry","LB /Neumann GorettiPhiladelphia, PA","LB",87.22,97000,1800,NA,NA,"usc trojans","Pac-12","No",0
"183","Luke Reimer","LB /North StarLincoln, NE","LB",50,96000,6900,NA,NA,"nebraska cornhuskers","Big Ten","No",0
"184","Chris Russell","LB /DyersburgDyersburg, TN","LB",85.3,96000,3300,NA,NA,"texas a&m aggies","SEC","No",0
"185","DJ Lundy","LB /Irwin CountyOcilla, GA","LB",84.7,96000,4000,NA,NA,"florida state seminoles","ACC","No",0
"186","Nick Henrich","LB /BurkeOmaha, NE","LB",93.37,96000,7500,NA,NA,"nebraska cornhuskers","Big Ten","No",0
"187","Xavian Sorey","LB /IMG AcademyBradenton, FL","LB",96.09,95000,13900,NA,NA,"georgia bulldogs","SEC","No",0
