"","Last Team","New Team","total_nil_valuation","avg_valuation","number_athletes","CurrentConference.x","address_last","lat_last","long_last","CurrentConference.y","address_new","lat_new","long_new"
"145","memphis tigers","ole miss rebels",75000,75000,1,"American","Memphis, TN",35.1460249,-90.0517638,"SEC","University[n 18], MS",43.7978613,-79.3919089889469
"146","alabama crimson tide","tcu horned frogs",74000,24666.67,3,"SEC","Tuscaloosa, AL",33.2095614,-87.5675258,"Big 12","Fort Worth, TX",32.753177,-97.3327459
"147","oklahoma sooners","missouri tigers",73000,73000,1,"Big 12[n 17]","Norman, OK",35.2225717,-97.4394816,"SEC","Columbia, MO",38.951883,-92.3337366
"148","oklahoma state cowboys","oklahoma sooners",73000,73000,1,"Big 12","Stillwater, OK",36.1156306,-97.0585717,"Big 12[n 17]","Norman, OK",35.2225717,-97.4394816
"149","arizona wildcats","lsu tigers",72000,72000,1,"Pac-12[n 3]","Tucson, AZ",32.2228765,-110.974847,"SEC","Baton Rouge, LA",30.4494155,-91.1869659
"150","west virginia mountaineers","lsu tigers",72000,72000,1,"Big 12","Morgantown, WV",39.6296809,-79.9559437,"SEC","Baton Rouge, LA",30.4494155,-91.1869659
"151","florida gators","south carolina gamecocks",70000,70000,1,"SEC","Gainesville, FL",29.6519684,-82.3249846,"SEC","Columbia, SC",34.0374165,-80.8224044537886
"152","minnesota golden gophers","rutgers scarlet knights",70000,70000,1,"Big Ten","Minneapolis, MN",44.9772995,-93.2654692,"Big Ten","Piscataway[n 22], NJ",40.5462553,-74.4660408
"153","south carolina gamecocks","oregon ducks",70000,70000,1,"SEC","Columbia, SC",34.0374165,-80.8224044537886,"Pac-12[n 19]","Eugene, OR",44.0505054,-123.0950506
"154","ohio state buckeyes","notre dame fighting irish",69000,69000,1,"Big Ten","Columbus, OH",39.9622601,-83.0007065,"Independent","South Bend, IN",41.6833813,-86.2500066
"155","texas tech red raiders","oklahoma sooners",69000,69000,1,"Big 12","Lubbock, TX",33.5855677,-101.8470215,"Big 12[n 17]","Norman, OK",35.2225717,-97.4394816
"156","kentucky wildcats","colorado buffaloes",68000,68000,1,"SEC","Lexington, KY",38.0464066,-84.4970393,"Pac-12[n 3]","Boulder, CO",40.0149856,-105.270545
"157","ole miss rebels","oregon ducks",68000,34000,2,"SEC","University[n 18], MS",43.7978613,-79.3919089889469,"Pac-12[n 19]","Eugene, OR",44.0505054,-123.0950506
"158","ole miss rebels","south carolina gamecocks",68000,68000,1,"SEC","University[n 18], MS",43.7978613,-79.3919089889469,"SEC","Columbia, SC",34.0374165,-80.8224044537886
"159","southeastern louisiana lions","lsu tigers",68000,68000,1,"Southland","Hammond, Louisiana",30.5043583,-90.4611995,"SEC","Baton Rouge, LA",30.4494155,-91.1869659
"160","wake forest demon deacons","oklahoma sooners",68000,68000,1,"ACC","Winston-Salem, NC",36.0998131,-80.2440518,"Big 12[n 17]","Norman, OK",35.2225717,-97.4394816
"161","notre dame fighting irish","alabama crimson tide",67000,67000,1,"Independent","South Bend, IN",41.6833813,-86.2500066,"SEC","Tuscaloosa, AL",33.2095614,-87.5675258
"162","usc trojans","oregon ducks",67000,67000,1,"Pac-12[n 19]","Los Angeles, CA",34.0536909,-118.242766,"Pac-12[n 19]","Eugene, OR",44.0505054,-123.0950506
"163","georgia bulldogs","arkansas razorbacks",66000,66000,1,"SEC","Athens, GA",33.9597677,-83.376398,"SEC","Fayetteville, AR",36.0625843,-94.1574328
"164","oklahoma sooners","new mexico state aggies",66000,66000,1,"Big 12[n 17]","Norman, OK",35.2225717,-97.4394816,"C-USA","Las Cruces, NM",32.3140354,-106.779807
"165","bowling green falcons","arkansas razorbacks",65000,65000,1,"MAC","Bowling Green, OH",41.3747744,-83.6513229,"SEC","Fayetteville, AR",36.0625843,-94.1574328
"166","clemson tigers","colorado buffaloes",65000,65000,1,"ACC","Clemson, SC",34.6850749,-82.8364111,"Pac-12[n 3]","Boulder, CO",40.0149856,-105.270545
"167","nebraska cornhuskers","michigan wolverines",65000,65000,1,"Big Ten","Lincoln, NE",40.8088861,-96.7077751,"Big Ten","Ann Arbor, MI",42.2813722,-83.7484616
"168","usc trojans","wisconsin badgers",65000,65000,1,"Pac-12[n 19]","Los Angeles, CA",34.0536909,-118.242766,"Big Ten","Madison, WI",43.074761,-89.3837613
"169","arkansas razorbacks","colorado buffaloes",64000,32000,2,"SEC","Fayetteville, AR",36.0625843,-94.1574328,"Pac-12[n 3]","Boulder, CO",40.0149856,-105.270545
"170","mississippi state bulldogs","baylor bears",63000,63000,1,"SEC","Mississippi State[n 14], MS",30.3818646,-89.0439248,"Big 12","Waco, TX",31.5491899,-97.1474628
"171","tcu horned frogs","arkansas razorbacks",63000,63000,1,"Big 12","Fort Worth, TX",32.753177,-97.3327459,"SEC","Fayetteville, AR",36.0625843,-94.1574328
"172","tennessee volunteers","california golden bears",63000,63000,1,"SEC","Knoxville, TN",35.9603948,-83.9210261,"Pac-12[n 6]","Berkeley, CA",37.8708393,-122.272863
"173","notre dame fighting irish","oklahoma sooners",61000,61000,1,"Independent","South Bend, IN",41.6833813,-86.2500066,"Big 12[n 17]","Norman, OK",35.2225717,-97.4394816
"174","alabama crimson tide","colorado buffaloes",0,0,1,"SEC","Tuscaloosa, AL",33.2095614,-87.5675258,"Pac-12[n 3]","Boulder, CO",40.0149856,-105.270545
"175","alabama crimson tide","florida atlantic owls",0,0,1,"SEC","Tuscaloosa, AL",33.2095614,-87.5675258,"American","Boca Raton, FL",26.3586885,-80.0830984
"176","alabama crimson tide","georgia tech yellow jackets",0,0,1,"SEC","Tuscaloosa, AL",33.2095614,-87.5675258,"ACC","Atlanta, GA",33.7489924,-84.3902644
"177","alabama crimson tide","houston cougars",0,0,1,"SEC","Tuscaloosa, AL",33.2095614,-87.5675258,"Big 12","Houston, TX",29.7589382,-95.3676974
"178","alabama crimson tide","syracuse orange",0,0,1,"SEC","Tuscaloosa, AL",33.2095614,-87.5675258,"ACC","Syracuse, NY",43.0481221,-76.1474244
"179","alabama crimson tide","ucf knights",0,0,1,"SEC","Tuscaloosa, AL",33.2095614,-87.5675258,"Big 12","Orlando[n 27], FL",28.5421109,-81.3790304
"180","alabama crimson tide","usc trojans",0,0,1,"SEC","Tuscaloosa, AL",33.2095614,-87.5675258,"Pac-12[n 19]","Los Angeles, CA",34.0536909,-118.242766
"181","appalachian state mountaineers","marshall thundering herd",0,0,1,"Sun Belt","Boone, NC",36.2165362,-81.6746158,"Sun Belt","Huntington, WV",38.4192496,-82.445154
"182","appalachian state mountaineers","oklahoma sooners",0,0,1,"Sun Belt","Boone, NC",36.2165362,-81.6746158,"Big 12[n 17]","Norman, OK",35.2225717,-97.4394816
"183","arizona state sun devils","colorado buffaloes",0,0,1,"Pac-12[n 3]","Tempe, AZ",33.4255117,-111.9400164,"Pac-12[n 3]","Boulder, CO",40.0149856,-105.270545
"184","arizona state sun devils","michigan wolverines",0,0,1,"Pac-12[n 3]","Tempe, AZ",33.4255117,-111.9400164,"Big Ten","Ann Arbor, MI",42.2813722,-83.7484616
"185","arizona state sun devils","ohio state buckeyes",0,0,1,"Pac-12[n 3]","Tempe, AZ",33.4255117,-111.9400164,"Big Ten","Columbus, OH",39.9622601,-83.0007065
"186","arizona state sun devils","tennessee volunteers",0,0,1,"Pac-12[n 3]","Tempe, AZ",33.4255117,-111.9400164,"SEC","Knoxville, TN",35.9603948,-83.9210261
"187","arizona state sun devils","ucf knights",0,0,1,"Pac-12[n 3]","Tempe, AZ",33.4255117,-111.9400164,"Big 12","Orlando[n 27], FL",28.5421109,-81.3790304
"188","arizona state sun devils","usc trojans",0,0,1,"Pac-12[n 3]","Tempe, AZ",33.4255117,-111.9400164,"Pac-12[n 19]","Los Angeles, CA",34.0536909,-118.242766
"189","arizona state sun devils","washington huskies",0,0,1,"Pac-12[n 3]","Tempe, AZ",33.4255117,-111.9400164,"Pac-12[n 19]","Seattle, WA",47.6038321,-122.330062
"190","arizona wildcats","unlv rebels",0,0,1,"Pac-12[n 3]","Tucson, AZ",32.2228765,-110.974847,"Mountain West","Las Vegas[n 29], NV",36.1672559,-115.148516
"191","arkansas razorbacks","memphis tigers",0,0,1,"SEC","Fayetteville, AR",36.0625843,-94.1574328,"American","Memphis, TN",35.1460249,-90.0517638
"192","arkansas razorbacks","purdue boilermakers",0,0,1,"SEC","Fayetteville, AR",36.0625843,-94.1574328,"Big Ten","West Lafayette, IN",40.4258686,-86.9080655
"193","arkansas razorbacks","uab blazers",0,0,1,"SEC","Fayetteville, AR",36.0625843,-94.1574328,"American","Birmingham, AL",33.5206824,-86.8024326
"194","arkansas state red wolves","central michigan chippewas",0,0,1,"Sun Belt","Jonesboro, AR",35.8272257,-90.6949871,"MAC","Mount Pleasant, MI",33.1570582,-94.9694007
"195","arkansas state red wolves","colorado buffaloes",0,0,1,"Sun Belt","Jonesboro, AR",35.8272257,-90.6949871,"Pac-12[n 3]","Boulder, CO",40.0149856,-105.270545
