"","Name","High School","Position","NIL Valuation","Last Team","New Team"
"374","Xavier Hill","Olive Branch","IOL",132000,"lsu tigers","memphis tigers"
"375","Javion Cohen","Central","IOL",116000,"alabama crimson tide","miami hurricanes"
"376","Keiondre Jones","Callaway","IOL",109000,"auburn tigers","florida state seminoles"
"377","Casey Roddick","St. Bonaventure","IOL",102000,"colorado buffaloes","florida state seminoles"
"378","Avery Jones","Havelock","IOL",90000,"east carolina pirates","auburn tigers"
"379","Ben Scott","St. Louis","IOL",89000,"arizona state sun devils","nebraska cornhuskers"
"380","Drew Moss","Richardson","IOL",85000,"lamar cardinals","colorado state rams"
"381","Victor Curne","Second Baptist","IOL",77000,"washington huskies","ole miss rebels"
"382","Willis Patrick","Mansfield","IOL",77000,"jackson state tigers","undecided"
"383","Caleb Shaffer","Carmel","IOL",60000,"miami oh redhawks","oklahoma sooners"
"384","LaDarius Henderson","Waxahachie","IOL",0,"arizona state sun devils","michigan wolverines"
"385","Spencer Holstege","South Christian","IOL",0,"purdue boilermakers","ucla bruins"
"386","Ben Coleman","Linfield Christian School","IOL",0,"california golden bears","arizona state sun devils"
"387","Junior Angilau","East","IOL",0,"texas longhorns","oregon ducks"
"388","Rusty Staats","Naval Academy Prep","IOL",0,"western kentucky hilltoppers","texas tech red raiders"
"389","Jake Renfro","Providence Catholic","IOL",0,"cincinnati bearcats","wisconsin badgers"
"390","Troy Everett","Lord Botetourt","IOL",0,"appalachian state mountaineers","oklahoma sooners"
"391","Willie Lampkin","Lakeland","IOL",0,"coastal carolina chanticleers","north carolina tar heels"
"392","Ben Christman","Revere","IOL",0,"ohio state buckeyes","kentucky wildcats"
"393","Max Longman","Portage Central","IOL",0,"massachusetts minutemen","indiana hoosiers"
"394","Hunter Deyo","Lewis Central","IOL",0,"iowa state cyclones","bowling green falcons"
"395","Caleb Etienne","Warren Easton","IOL",0,"oklahoma state cowboys","byu cougars"
"396","Luke Kandra","Elder","IOL",0,"louisville cardinals","cincinnati bearcats"
