"","Name","High School","Position","Rating","College","NIL Valuation","Followers","Conference"
"396","David Ojiegbe","EDGE /St. John'sWashington, DC","EDGE",90.69,"Clemson Tigers",80000,12800,"ACC"
"397","Saivion Jones","EDGE /St. JamesSaint James, LA","EDGE",93.71,"Lsu Tigers",80000,6300,"SEC"
"398","Ethan Downs","EDGE /WeatherfordWeatherford, OK","EDGE",91.61,"Oklahoma Sooners",77000,25000,"Big 12"
"399","Kelvin Gilliam","EDGE /Highland SpringsHighland Springs, VA","EDGE",94.27,"Oklahoma Sooners",75000,17800,"Big 12"
"400","Trace Ford","EDGE /Santa FeEdmond, OK","EDGE",89.37,"Oklahoma Sooners",73000,19300,"Big 12"
"401","Tate Ratledge","IOL /Darlington SchoolRome, GA","IOL",96.25,"Georgia Bulldogs",504000,33000,"SEC"
"402","Matthew Jones","IOL /Erasmus HallBrooklyn, NY","IOL",94.86,"Ohio State Buckeyes",484000,8400,"Big Ten"
"403","Jackson Powers-Johnson","IOL /Corner CanyonDraper, UT","IOL",91.73,"Oregon Ducks",481000,32000,"Pac-12"
"404","Tyler Booker","IOL /IMG AcademyBradenton, FL","IOL",97.02,"Alabama Crimson Tide",448000,30000,"SEC"
"405","Zak Zinter","IOL /Buckingham Browne & Nichols SchoolNorth Andover, MA","IOL",90.13,"Michigan Wolverines",441000,41000,"Big Ten"
"407","Clay Webb","IOL /OxfordOxford, AL","IOL",97.64,"Jacksonville State Gamecocks",361000,3300,"C-USA"
"408","Steven Jones","IOL /ChaparralTemecula, CA","IOL",90.77,"Oregon Ducks",330000,6800,"Pac-12"
"409","Drake Nugent","IOL /Highlands RanchLittleton, CO","IOL",84.3,"Michigan Wolverines",324000,3600,"Big Ten"
"410","Matt Lee","IOL /Hagerty Oviedo, FL","IOL",80.75,"Miami Hurricanes",315000,5900,"ACC"
"411","Cooper Beebe","IOL /PiperKansas City, KS","IOL",82.65,"Kansas State Wildcats",275000,3800,"Big 12"
"412","Marcus Harper","IOL /Homewood-FlossmoorChicago, IL","IOL",85.93,"Oregon Ducks",259000,15500,"Pac-12"
"413","Jake Majors","IOL /ProsperProsper, TX","IOL",90.64,"Texas Longhorns",254000,9500,"Big 12"
"414","Zach Frazier","IOL /FairmontFairmont, WV","IOL",87.2,"West Virginia Mountaineers",249000,7100,"Big 12"
"415","Kobe Baynes","IOL /SandalwoodJacksonville, FL","IOL",84.37,"Kansas Jayhawks",246000,4300,"Big 12"
"416","Miles Frazier","IOL /Milford AcademyCamden, NJ","IOL",81.33,"Lsu Tigers",229000,8000,"SEC"
"417","Justin Dedich","IOL /ChaparralTemecula, CA","IOL",93.92,"Usc Trojans",207000,4700,"Pac-12"
"418","Joe Michalski","IOL /St. Thomas AquinasOverland Park, KS","IOL",82.83,"Oklahoma State Cowboys",205000,1600,"Big 12"
"419","Gunner Britton","IOL /ConwayConway, SC","IOL",77.27,"Auburn Tigers",197000,3800,"SEC"
"420","Vinny Sciury","IOL /PerryMassillon, OH","IOL",79.81,"Toledo Rockets",194000,0,"MAC"
"421","Branson Hickman","IOL /JesuitDallas, TX","IOL",80.63,"Smu Mustangs",193000,2000,"American"
"422","Chase Bisontis","IOL /Don Bosco PrepRamsey, NJ","IOL",96.4,"Texas A&M Aggies",193000,24000,"SEC"
"423","DJ Campbell","IOL /BowieArlington, TX","IOL",98.26,"Texas Longhorns",191000,21000,"Big 12"
